metric,baseline_staged,integrated_base,difference_integrated_minus_baseline
avg_duty_span_min,359.04,359.04,0.0
avg_stop_count_per_trip,7.97,7.97,0.0
avg_trip_duration_min,137.31,137.31,0.0
avg_trip_occupancy_pct,84.27,84.27,0.0
baseline_reported_avg_trip_minutes,86.12,86.12,0.0
baseline_reported_overtime_minutes,2235.0,2235.0,0.0
coverage_pct_of_demand,96.25,96.25,0.0
demand_rows,3501.0,3501.0,0.0
designed_trip_count,436.0,458.0,22.0
duty_count,200.0,200.0,0.0
duty_count_over_10h,0.0,0.0,0.0
duty_count_over_9h,15.0,15.0,0.0
fleet_limit_breach_vs_13_buses,0.0,0.0,0.0
handover_trip_count,193.0,193.0,0.0
in_trip_count,184.0,184.0,0.0
max_concurrent_trips,13.0,13.0,0.0
max_duty_overtime_minutes,59.55,59.55,0.0
mixed_trip_count,46.0,46.0,0.0
out_trip_count,190.0,190.0,0.0
pilot_total_stores_overview,93.0,93.0,0.0
pilot_vehicle_count_overview,15.0,15.0,0.0
rescued_trip_count,6.0,6.0,0.0
scheduled_trip_count,420.0,420.0,0.0
strict_store_name_id_matches,80.0,80.0,0.0
theoretical_peak_buses_from_demand,9.0,9.0,0.0
total_assigned_passengers,8326.0,8326.0,0.0
total_designed_route_distance_km,25923.341,25923.341,0.0
total_offered_seats,9240.0,9240.0,0.0
total_overtime_minutes_over_9h,532.37,532.37,0.0
total_weekly_employee_demand_events,8650.0,8650.0,0.0
unique_routeable_demand_stores,77.0,77.0,0.0
unique_unmatched_places,2.0,2.0,0.0
unmatched_place_occurrences,20.0,20.0,0.0
unscheduled_trip_count,16.0,36.0,20.0
weighted_avg_occupancy_pct,84.27,84.27,0.0
