metric,value
pilot_total_stores_overview,93.0
pilot_vehicle_count_overview,15.0
strict_store_name_id_matches,80.0
demand_rows,3501.0
total_weekly_employee_demand_events,8650.0
unique_routeable_demand_stores,77.0
theoretical_peak_buses_from_demand,9.0
designed_trip_count,475.0
scheduled_trip_count,465.0
unscheduled_trip_count,9.0
in_trip_count,156.0
out_trip_count,234.0
mixed_trip_count,75.0
avg_trip_duration_min,132.97
total_designed_route_distance_km,28270.112
avg_stop_count_per_trip,7.4
avg_trip_occupancy_pct,80.5
weighted_avg_occupancy_pct,80.5
total_offered_seats,10230.0
total_assigned_passengers,8477.0
coverage_pct_of_demand,98.0
max_concurrent_trips,13.0
fleet_limit_breach_vs_13_buses,0.0
duty_count,255.0
split_duty_count,57.0
duty_count_over_9h,5.0
duty_count_over_10h,0.0
avg_duty_span_min,288.87
total_overtime_minutes_over_9h,79.23
max_duty_overtime_minutes,22.05
rescued_trip_count,8.0
handover_trip_count,194.0
baseline_reported_overtime_minutes,2235.0
baseline_reported_avg_trip_minutes,86.12
unique_unmatched_places,2.0
unmatched_place_occurrences,20.0
